Epoch,Train Accuracy %,Train Loss,,Average Accuracy,Average Train Loss
1455,"4,82","4,7279",,"1,23%","3,32888416666667"
1515,"4,82","4,4596",,,
1450,"4,82","4,2358",,,
1475,"4,82","4,2266",,,
1490,"4,82","3,4478",,,
1495,"4,82","3,2141",,,
735,"4,82","3,1678",,,
1525,"4,82","3,1295",,,
1470,"4,82","2,8421",,,
1465,"4,82","2,7397",,,
1480,"4,82","2,6519",,,
1505,"4,82","2,6113",,,
1520,"4,82","2,0546",,,
1485,"4,82","2,036",,,
1195,"4,22","8,4674",,,
1510,"4,22","4,4884",,,
1550,"4,22","4,0285",,,
925,"4,22","3,8808",,,
1400,"4,22","3,5946",,,
895,"4,22","3,5438",,,
915,"4,22","3,4693",,,
1265,"4,22","3,4661",,,
1230,"4,22","3,3584",,,
1220,"4,22","3,3174",,,
1540,"4,22","3,3145",,,
1260,"4,22","3,1052",,,
910,"4,22","2,9688",,,
1225,"4,22","2,9274",,,
935,"4,22","2,8739",,,
1385,"4,22","2,8515",,,
930,"4,22","2,8411",,,
900,"4,22","2,7723",,,
920,"4,22","2,2551",,,
1380,"4,22","2,1317",,,
815,"4,22","2,09",,,
1445,"4,22","1,9404",,,
955,"4,22","1,8571",,,
1460,"4,22","1,7315",,,
1500,"4,22","1,7116",,,
1570,"4,22","1,6192",,,
1530,"4,22","1,57",,,
730,"3,61","6,5544",,,
835,"3,61","5,559",,,
1295,"3,61","4,4446",,,
980,"3,61","4,3585",,,
1310,"3,61","4,3439",,,
940,"3,61","4,2632",,,
1240,"3,61","4,2387",,,
850,"3,61","4,1143",,,
975,"3,61","4,0854",,,
1235,"3,61","4,0657",,,
1305,"3,61","4,0309",,,
1420,"3,61","3,8729",,,
1070,"3,61","3,8619",,,
1330,"3,61","3,826",,,
1020,"3,61","3,7991",,,
1275,"3,61","3,7629",,,
870,"3,61","3,7443",,,
905,"3,61","3,7357",,,
985,"3,61","3,6763",,,
1395,"3,61","3,6107",,,
1215,"3,61","3,5173",,,
1575,"3,61","3,3985",,,
1315,"3,61","3,3934",,,
1280,"3,61","3,3634",,,
1255,"3,61","3,3618",,,
785,"3,61","3,3601",,,
1340,"3,61","3,2754",,,
875,"3,61","3,2508",,,
845,"3,61","3,2093",,,
1290,"3,61","3,1693",,,
825,"3,61","3,1595",,,
1325,"3,61","3,0452",,,
810,"3,61","3,0019",,,
945,"3,61","2,9858",,,
1300,"3,61","2,9436",,,
1245,"3,61","2,9371",,,
1250,"3,61","2,8858",,,
1270,"3,61","2,8551",,,
1425,"3,61","2,7349",,,
1535,"3,61","2,7215",,,
880,"3,61","2,5597",,,
1435,"3,61","2,5316",,,
1415,"3,61","2,4773",,,
1405,"3,61","2,4499",,,
1565,"3,61","2,4038",,,
1000,"3,61","2,3719",,,
1285,"3,61","2,321",,,
960,"3,61","2,3016",,,
1555,"3,61","2,2547",,,
950,"3,61","2,0039",,,
1375,"3,61","1,9698",,,
1390,"3,61","1,9655",,,
1545,"3,61","1,918",,,
1410,"3,61","1,9078",,,
1440,"3,61","1,9058",,,
1430,"3,61","1,7408",,,
775,"3,61","1,4997",,,
740,"3,61","1,424",,,
1370,"3,01","5,2963",,,
990,"3,01","5,0798",,,
1025,"3,01","4,9147",,,
1200,"3,01","4,558",,,
755,"3,01","4,3691",,,
1320,"3,01","4,3191",,,
1030,"3,01","4,2005",,,
840,"3,01","4,0557",,,
805,"3,01","4,0224",,,
1015,"3,01","3,9739",,,
865,"3,01","3,928",,,
860,"3,01","3,7639",,,
780,"3,01","3,7287",,,
750,"3,01","3,7053",,,
970,"3,01","3,7053",,,
1060,"3,01","3,5477",,,
1345,"3,01","3,309",,,
770,"3,01","3,2923",,,
1005,"3,01","3,2897",,,
1360,"3,01","3,2777",,,
995,"3,01","3,2224",,,
1365,"3,01","3,1567",,,
1335,"3,01","3,1366",,,
890,"3,01","3,1016",,,
830,"3,01","3,047",,,
1055,"3,01","3,04",,,
820,"3,01","3,003",,,
1580,"3,01","2,8721",,,
1035,"3,01","2,6782",,,
795,"3,01","2,6304",,,
1010,"3,01","2,5806",,,
760,"3,01","2,5694",,,
885,"3,01","2,5654",,,
745,"3,01","2,4742",,,
1350,"3,01","2,4034",,,
1045,"3,01","2,3952",,,
1040,"3,01","2,3005",,,
855,"3,01","2,2856",,,
965,"3,01","2,2329",,,
1355,"3,01","2,2324",,,
1210,"3,01","2,2256",,,
790,"3,01","2,0923",,,
765,"3,01","1,9293",,,
1050,"3,01","1,5272",,,
1560,"3,01","1,0698",,,
425,"2,41","4,7471",,,
415,"2,41","4,0282",,,
1205,"2,41","3,9256",,,
1065,"2,41","3,771",,,
530,"2,41","3,76",,,
800,"2,41","3,3745",,,
545,"2,41","3,3676",,,
1090,"2,41","3,3469",,,
1095,"2,41","3,1947",,,
430,"2,41","2,9388",,,
520,"2,41","2,8131",,,
540,"2,41","2,7748",,,
1100,"2,41","2,7397",,,
1080,"2,41","2,6812",,,
1085,"2,41","2,5287",,,
1105,"2,41","2,5231",,,
535,"2,41","2,2813",,,
445,"2,41","2,2072",,,
420,"2,41","2,1675",,,
1180,"1,81","4,6678",,,
565,"1,81","4,6674",,,
570,"1,81","4,3111",,,
470,"1,81","4,2829",,,
210,"1,81","3,9748",,,
230,"1,81","3,962",,,
475,"1,81","3,9085",,,
460,"1,81","3,8331",,,
1110,"1,81","3,7691",,,
400,"1,81","3,7378",,,
435,"1,81","3,5917",,,
490,"1,81","3,5389",,,
450,"1,81","3,4389",,,
405,"1,81","3,4088",,,
215,"1,81","3,3714",,,
510,"1,81","3,3395",,,
550,"1,81","3,3332",,,
505,"1,81","3,3041",,,
365,"1,81","3,2064",,,
260,"1,81","3,1657",,,
1150,"1,81","3,0799",,,
480,"1,81","3,0678",,,
495,"1,81","3,0417",,,
220,"1,81","2,9847",,,
525,"1,81","2,8652",,,
225,"1,81","2,8649",,,
1170,"1,81","2,7939",,,
500,"1,81","2,7663",,,
1175,"1,81","2,7645",,,
395,"1,81","2,6592",,,
1165,"1,81","2,5737",,,
575,"1,81","2,5416",,,
390,"1,81","2,436",,,
465,"1,81","2,4168",,,
240,"1,81","2,0408",,,
455,"1,81","2,0181",,,
440,"1,81","1,9597",,,
485,"1,81","1,7788",,,
1160,"1,81","1,6642",,,
555,"1,81","1,4647",,,
1585,"1,2","10,8227",,,
660,"1,2","5,5417",,,
170,"1,2","4,994",,,
720,"1,2","4,8548",,,
290,"1,2","4,5187",,,
705,"1,2","4,5128",,,
355,"1,2","4,4189",,,
185,"1,2","4,4184",,,
360,"1,2","4,406",,,
580,"1,2","4,3718",,,
285,"1,2","4,2754",,,
270,"1,2","4,2183",,,
670,"1,2","4,0963",,,
175,"1,2","3,8759",,,
250,"1,2","3,8134",,,
620,"1,2","3,7654",,,
595,"1,2","3,698",,,
245,"1,2","3,6925",,,
515,"1,2","3,6789",,,
350,"1,2","3,5576",,,
275,"1,2","3,5461",,,
585,"1,2","3,5094",,,
680,"1,2","3,5065",,,
340,"1,2","3,5001",,,
195,"1,2","3,4762",,,
335,"1,2","3,4751",,,
675,"1,2","3,4386",,,
615,"1,2","3,4376",,,
610,"1,2","3,4341",,,
1120,"1,2","3,4204",,,
715,"1,2","3,4051",,,
300,"1,2","3,3887",,,
380,"1,2","3,3666",,,
345,"1,2","3,3637",,,
385,"1,2","3,2688",,,
690,"1,2","3,2684",,,
315,"1,2","3,2419",,,
305,"1,2","3,224",,,
190,"1,2","3,1742",,,
695,"1,2","3,1447",,,
1125,"1,2","3,0202",,,
1075,"1,2","3,0061",,,
205,"1,2","2,984",,,
650,"1,2","2,9546",,,
625,"1,2","2,9431",,,
310,"1,2","2,9243",,,
265,"1,2","2,9166",,,
255,"1,2","2,9119",,,
645,"1,2","2,9077",,,
295,"1,2","2,8979",,,
370,"1,2","2,8789",,,
710,"1,2","2,8539",,,
375,"1,2","2,8288",,,
630,"1,2","2,8126",,,
1140,"1,2","2,7765",,,
700,"1,2","2,769",,,
560,"1,2","2,7132",,,
655,"1,2","2,713",,,
1185,"1,2","2,6854",,,
600,"1,2","2,5897",,,
200,"1,2","2,5752",,,
1155,"1,2","2,5132",,,
725,"1,2","2,4361",,,
320,"1,2","2,4085",,,
235,"1,2","2,3289",,,
410,"1,2","2,1803",,,
325,"1,2","2,1775",,,
1145,"1,2","2,1765",,,
280,"1,2","2,0752",,,
685,"1,2","1,9617",,,
1135,"1,2","1,9292",,,
180,"1,2","1,9219",,,
1130,"1,2","1,9141",,,
590,"1,2","1,7621",,,
635,"0,6","4,1558",,,
640,"0,6","3,7642",,,
2925,"0,6","3,7633",,,
1115,"0,6","3,6635",,,
330,"0,6","3,076",,,
2930,"0,6","2,8548",,,
165,"0,6","2,6667",,,
130,"0,6","2,4656",,,
605,"0,6","2,3977",,,
665,"0,6","1,75",,,
0,0,"57,5385",,,
2150,0,"6,2132",,,
155,0,"5,671",,,
2275,0,"5,6256",,,
2365,0,"5,3016",,,
1835,0,"5,2328",,,
2465,0,"5,2217",,,
2195,0,"5,0831",,,
5,0,"4,9972",,,
1865,0,"4,9784",,,
2765,0,"4,9541",,,
1700,0,"4,917",,,
2620,0,"4,882",,,
1680,0,"4,8716",,,
80,0,"4,7698",,,
2455,0,"4,7596",,,
2780,0,"4,661",,,
1730,0,"4,6073",,,
2410,0,"4,5713",,,
2685,0,"4,5416",,,
2310,0,"4,541",,,
2660,0,"4,5387",,,
2625,0,"4,5278",,,
2520,0,"4,5081",,,
2670,0,"4,5027",,,
2655,0,"4,4883",,,
2230,0,"4,4863",,,
2865,0,"4,4675",,,
1605,0,"4,4514",,,
1725,0,"4,4514",,,
2010,0,"4,4142",,,
2440,0,"4,4073",,,
1950,0,"4,4047",,,
2880,0,"4,4009",,,
2020,0,"4,3849",,,
2305,0,"4,3734",,,
45,0,"4,3585",,,
1665,0,"4,3567",,,
2000,0,"4,3227",,,
2875,0,"4,3209",,,
70,0,"4,317",,,
2635,0,"4,2978",,,
2255,0,"4,2948",,,
1715,0,"4,2793",,,
2975,0,"4,2233",,,
1895,0,"4,2038",,,
1920,0,"4,2033",,,
1880,0,"4,1979",,,
2690,0,"4,1848",,,
1670,0,"4,1773",,,
1710,0,"4,1764",,,
150,0,"4,1462",,,
2755,0,"4,1092",,,
2775,0,"4,0941",,,
2425,0,"4,0827",,,
1640,0,"4,0816",,,
90,0,"4,0781",,,
2870,0,"4,068",,,
2530,0,"4,0641",,,
35,0,"4,0582",,,
2760,0,"4,041",,,
1830,0,"4,0353",,,
1805,0,"4,0327",,,
2110,0,"4,032",,,
2400,0,"4,0241",,,
1630,0,"4,0219",,,
2795,0,"4,0132",,,
85,0,"3,969",,,
1785,0,"3,9626",,,
2970,0,"3,9464",,,
2470,0,"3,9175",,,
2280,0,"3,9162",,,
140,0,"3,9075",,,
2605,0,"3,8989",,,
2165,0,"3,897",,,
2485,0,"3,8745",,,
2460,0,"3,8668",,,
2980,0,"3,8583",,,
2510,0,"3,8508",,,
2515,0,"3,8391",,,
1985,0,"3,8369",,,
1875,0,"3,818",,,
1915,0,"3,8141",,,
2475,0,"3,7896",,,
1855,0,"3,7866",,,
2335,0,"3,7833",,,
1990,0,"3,7806",,,
1650,0,"3,762",,,
2370,0,"3,7594",,,
25,0,"3,7545",,,
2545,0,"3,7527",,,
1610,0,"3,7377",,,
2830,0,"3,736",,,
2960,0,"3,7167",,,
2525,0,"3,6933",,,
2180,0,"3,6695",,,
2910,0,"3,6558",,,
1955,0,"3,6483",,,
2725,0,"3,6466",,,
2430,0,"3,6452",,,
1620,0,"3,6413",,,
2895,0,"3,6413",,,
2100,0,"3,639",,,
2995,0,"3,6373",,,
2105,0,"3,6301",,,
2665,0,"3,627",,,
2675,0,"3,6227",,,
95,0,"3,597",,,
65,0,"3,5918",,,
1760,0,"3,591",,,
2860,0,"3,5719",,,
1925,0,"3,5631",,,
2565,0,"3,5521",,,
2145,0,"3,5378",,,
1965,0,"3,5341",,,
2450,0,"3,5333",,,
1845,0,"3,5257",,,
2935,0,"3,5227",,,
2645,0,"3,5219",,,
2285,0,"3,5144",,,
1770,0,"3,5138",,,
1745,0,"3,5136",,,
2805,0,"3,507",,,
2905,0,"3,5043",,,
2560,0,"3,5031",,,
145,0,"3,4998",,,
2085,0,"3,496",,,
2355,0,"3,4768",,,
1625,0,"3,4675",,,
2205,0,"3,4657",,,
2500,0,"3,4621",,,
110,0,"3,4589",,,
2490,0,"3,4545",,,
10,0,"3,452",,,
2035,0,"3,4349",,,
2315,0,"3,4288",,,
2045,0,"3,4273",,,
2090,0,"3,4131",,,
2050,0,"3,3997",,,
2065,0,"3,3949",,,
60,0,"3,3789",,,
1645,0,"3,3674",,,
1740,0,"3,361",,,
2380,0,"3,361",,,
125,0,"3,3507",,,
2600,0,"3,3364",,,
2835,0,"3,3361",,,
2200,0,"3,3225",,,
1905,0,"3,3208",,,
160,0,"3,3172",,,
1800,0,"3,2992",,,
