Epoch,Train Accuracy %,Train Loss,,Average Accuracy,Average Train Loss
5,"95,18","3,2575",,"18,25%","3,29694866666667"
0,"93,98","2,7233",,,
40,"90,36","3,7862",,,
10,"86,75","2,1725",,,
15,"83,73","2,5963",,,
20,"83,13","2,5623",,,
35,"81,93","1,626",,,
30,"80,72","1,9715",,,
25,"78,31","2,8522",,,
45,"77,71","4,7089",,,
120,"68,67","3,9758",,,
155,"68,07","3,4333",,,
145,"67,47","2,228",,,
55,"65,06","3,1615",,,
150,"62,05","3,8019",,,
90,"62,05","3,7299",,,
115,"61,45","2,7557",,,
125,"60,84","3,6726",,,
50,"60,24","1,6682",,,
135,"58,43","3,2142",,,
95,"57,23","3,1358",,,
140,"56,63","4,0411",,,
165,"56,02","3,4731",,,
65,"55,42","4,8857",,,
110,"54,82","4,0822",,,
130,"54,82","3,4898",,,
210,"54,22","2,6454",,,
60,"53,01","3,9822",,,
160,"52,41","3,9137",,,
215,"51,81","3,2141",,,
230,"50,6","3,8314",,,
105,"50,6","1,426",,,
170,50,"2,0742",,,
220,"49,4","3,4887",,,
445,"49,4","3,373",,,
355,"49,4","3,0788",,,
100,"48,8","4,2642",,,
345,"48,8","3,5068",,,
80,"48,19","3,4144",,,
995,"48,19","3,2336",,,
85,"47,59","4,4314",,,
350,"46,99","2,4975",,,
310,"46,99","1,7182",,,
70,"45,18","3,318",,,
300,"42,17","4,403",,,
1185,"42,17","3,3192",,,
450,"42,17","3,0334",,,
620,"42,17","1,2763",,,
250,"41,57","3,6033",,,
270,"40,96","4,6043",,,
340,"40,96","2,5974",,,
180,"40,96","2,0776",,,
205,"39,76","4,7886",,,
370,"39,76","4,6304",,,
225,"39,76","3,5727",,,
185,"39,76","2,2671",,,
235,"39,76","1,8819",,,
190,"38,55","3,9024",,,
75,"38,55","3,4795",,,
610,"38,55","2,5186",,,
240,"37,35","3,1225",,,
605,"37,35","2,6726",,,
455,"36,75","3,5635",,,
315,"36,14","4,3475",,,
615,"36,14","3,8565",,,
245,"36,14","3,2616",,,
200,"36,14","2,7187",,,
360,"36,14","2,6983",,,
255,"36,14","2,3967",,,
175,"35,54","3,4403",,,
930,"34,94","3,8442",,,
195,"34,94","3,8328",,,
285,"34,94","2,341",,,
545,"34,94","2,05",,,
335,"34,34","3,0417",,,
1010,"34,34","2,744",,,
985,"33,73","4,1468",,,
470,"33,13","4,4384",,,
1445,"33,13","3,423",,,
810,"33,13","2,6897",,,
265,"33,13","2,4527",,,
495,"33,13","1,8705",,,
365,"32,53","3,7178",,,
740,"32,53","3,5822",,,
390,"31,93","3,2748",,,
700,"31,33","3,4266",,,
320,"31,33","2,6279",,,
330,"31,33","2,2309",,,
375,"30,72","4,6363",,,
305,"30,72","3,1943",,,
1450,"30,72","2,2904",,,
260,"30,12","3,8788",,,
2240,"30,12","3,321",,,
290,"30,12","3,2025",,,
765,"30,12","2,4171",,,
380,"30,12","2,3179",,,
465,"29,52","4,3126",,,
460,"29,52","2,8042",,,
1275,"29,52","2,6974",,,
1530,"29,52","2,6677",,,
530,"29,52","1,8949",,,
1875,"28,92","2,5171",,,
800,"28,31","4,6369",,,
1030,"28,31","2,9418",,,
280,"27,71","3,9173",,,
490,"27,71","3,3924",,,
1000,"27,71","3,0414",,,
